datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado,9,0,-999,-19.74,-45.272,17.5
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ITURAMA,Mata Atlantica,5,0,1,-19.735,-50.479,35.1
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ITURAMA,Mata Atlantica,5,0,1,-19.732,-50.445,173.6
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ESTRELA DO INDAIA,Cerrado,38,0,1,-19.626,-45.739,26.5
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,PRATA,Cerrado,43,0,0.9,-19.344,-48.743,21.8
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOAO DO MANTENINHA,Mata Atlantica,41,0,1,-18.701,-41.204,5.9
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,MONJOLOS,Cerrado,42,0,1,-18.402,-43.943,13.4
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,MONJOLOS,Cerrado,42,0,1,-18.393,-43.944,6.9
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,ATALEIA,Mata Atlantica,41,0,1,-18.285,-41.189,6.5
2020/07/06 16:30:00,AQUA_M-T,Brasil,MINAS GERAIS,DIAMANTINA,Cerrado,41,0,1,-18.213,-43.891,5.4
